"time","pop","birthrate"
1944,2445367.75943608,67074.9881980051
1944.08333333333,2468672.3818679,66663.4328597936
1944.16666666667,2491986.04448513,66251.877521581
1944.25,2515318.22868744,65840.3221833696
1944.33333333333,2538678.41587471,65428.7668451581
1944.41666666667,2562076.08744678,65017.2115069455
1944.5,2585520.72480335,64605.6561687341
1944.58333333333,2609021.80934426,64194.1008305226
1944.66666666667,2632588.82246939,63782.54549231
1944.75,2656231.24557841,63370.9901540986
1944.83333333333,2679958.56007118,62959.4348158871
1944.91666666667,2703780.24734757,62547.8794776745
1945,2727705.78880724,62136.3241394631
1945.08333333333,2751733.09379695,61724.7688012516
1945.16666666667,2775813.78345095,61313.213463039
1945.25,2799887.90685019,60901.6581248276
1945.33333333333,2823895.51307579,60490.1027866161
1945.41666666667,2847776.6512089,60078.5474484035
1945.5,2871471.37033046,59666.9921101921
1945.58333333333,2894919.7195216,59255.4367719806
1945.66666666667,2918061.74786347,58843.881433768
1945.75,2940837.50443699,58432.3260955566
1945.83333333333,2963187.03832332,58020.7707573451
1945.91666666667,2985050.39860358,57609.2154191325
1946,3006367.63435873,57197.6600809211
1946.08333333333,3027088.21575542,56786.1047427096
1946.16666666667,3047199.29730245,56374.549404497
1946.25,3066697.45459396,55962.9940662856
1946.33333333333,3085579.26322429,55551.4387280741
1946.41666666667,3103841.29878773,55139.8833898615
1946.5,3121480.13687845,54728.3280516501
1946.58333333333,3138492.35309078,54316.7727134386
1946.66666666667,3154874.52301901,53905.217375226
1946.75,3170623.22225732,53493.6620370146
1946.83333333333,3185735.02640002,53082.1066988031
1946.91666666667,3200206.51104141,52670.5513605906
1947,3214034.25177568,52258.9960223791
1947.08333333333,3227217.64423031,51847.4406841676
1947.16666666667,3239767.36416554,51435.8853459551
1947.25,3251696.90737466,51024.3300077436
1947.33333333333,3263019.76965109,50612.7746695321
1947.41666666667,3273749.44678823,50201.2193313196
1947.5,3283899.4345794,49789.6639931081
1947.58333333333,3293483.228818,49378.1086548966
1947.66666666667,3302514.32529743,48966.5533166841
1947.75,3311006.21981103,48554.9979784726
1947.83333333333,3318972.40815219,48143.4426402611
1947.91666666667,3326426.3861143,47731.8873020486
1948,3333381.64949071,47320.3319638371
1948.08333333333,3339852.2186157,46908.7766256257
1948.16666666667,3345854.21198711,46497.2212874131
1948.25,3351404.27264366,46085.6659492016
1948.33333333333,3356519.04362407,45674.1106109902
1948.41666666667,3361215.16796709,45262.5552727776
1948.5,3365509.28871142,44850.9999345661
1948.58333333333,3369418.04889581,44442.6291596893
1948.66666666667,3372958.09155898,44054.4383377061
1948.75,3376146.05973965,43707.143707957
1948.83333333333,3378998.59647656,43421.4615097792
1948.91666666667,3381532.34480843,43218.1079825104
1949,3383763.94777398,43117.7993654899
1949.08333333333,3385709.28869289,43141.2518980554
1949.16666666667,3387381.21200862,43309.1818195457
1949.25,3388791.80244555,43642.3053692983
1949.33333333333,3389953.1447281,44161.3387866515
1949.41666666667,3390877.32358065,44886.9983109458
1949.5,3391576.4237276,45840.0001815157
1949.58333333333,3392062.52989335,47031.4967274635
1949.66666666667,3392347.7268023,48434.3846369446
1949.75,3392444.09917884,50011.9966878647
1949.83333333333,3392363.73174738,51727.6656581411
1949.91666666667,3392118.7092323,53544.7243256926
1950,3391721.11635802,55426.5054684228
1950.08333333333,3391182.84833624,57336.3418642504
1950.16666666667,3390515.04232795,59237.5662910939
1950.25,3389728.64598147,61093.5115268568
1950.33333333333,3388834.60694511,62867.5103494579
1950.41666666667,3387843.87286717,64522.8955368152
1950.5,3386767.39139597,66022.9998668332
1950.58333333333,3385616.11017982,67338.1697307655
1950.66666666667,3384400.97686703,68466.8059732047
1950.75,3383132.93910591,69414.3230520693
1950.83333333333,3381822.94454477,70186.1354252875
1950.91666666667,3380481.94083191,70787.6575507857
1951,3379120.87561566,71224.3038864854
1951.08333333333,3377748.76419307,71501.4888903133
1951.16666666667,3376366.89245617,71624.6270201943
1951.25,3374974.61394575,71599.1327340527
1951.33333333333,3373571.2822026,71430.4204898139
1951.41666666667,3372156.25076749,71123.9047454016
1951.5,3370728.87318122,70684.9999587424
1951.58333333333,3369288.50298457,70121.2862938824
1951.66666666667,3367834.49371831,69449.0067393544
1951.75,3366366.19892325,68686.5699898187
1951.83333333333,3364882.97214015,67852.3847399303
1951.91666666667,3363384.16690981,66964.8596843434
1952,3361869.13677301,66042.4035177194
1952.08333333333,3360337.34052824,65103.4249347126
1952.16666666667,3358788.6580048,64166.3326299773
1952.25,3357223.07428973,63249.5352981751
1952.33333333333,3355640.57447003,62371.4416339602
1952.41666666667,3354041.14363272,61550.460331987
1952.5,3352424.76686483,60805.0000869167
1952.58333333333,3350791.42925335,60148.8955861831
1952.66666666667,3349141.11588532,59577.6854883379
1952.75,3347473.81184775,59082.3344447172
1952.83333333333,3345789.50222766,58653.8071066519
1952.91666666667,3344088.17211205,58283.0681254739
1953,3342369.80658796,57961.0821525178
1953.08333333333,3340634.44764732,57678.8138391154
1953.16666666667,3338882.36490174,57427.2278365987
1953.25,3337113.88486778,57197.2887963019
1953.33333333333,3335329.33406198,56979.9613695569
1953.41666666667,3333529.03900086,56766.210207696
1953.5,3331713.32620099,56546.9999620529
1953.58333333333,3329882.5221789,56315.2965562118
1953.66666666667,3328036.95345112,56072.0710027643
1953.75,3326176.94653421,55820.2955865561
1953.83333333333,3324302.82794471,55562.9425924308
1953.91666666667,3322414.92419915,55302.9843052318
1954,3320513.56181408,55043.393009805
1954.08333333333,3318599.20353037,54787.1409909939
1954.16666666667,3316672.85698616,54537.200533642
1954.25,3314735.66604394,54296.543922595
1954.33333333333,3312788.77456617,54068.1434426965
1954.41666666667,3310833.32641534,53854.9713787902
1954.5,3308870.46545392,53660.0000157215
1954.58333333333,3306901.33554438,53485.3712505935
1954.66666666667,3304927.0805492,53329.905429547
1954.75,3302948.84433087,53191.5925109836
1954.83333333333,3300967.77075184,53068.4224533034
1954.91666666667,3298985.0036746,52958.3852149069
1955,3297001.68696163,52859.4707541953
1955.08333333333,3295018.78132373,52769.669029569
1955.16666666667,3293036.51486499,52686.9699994283
1955.25,3291054.93253786,52609.3636221744
1955.33333333333,3289074.07929478,52534.8398562077
1955.41666666667,3287094.00008816,52461.3886599287
1955.5,3285114.73987046,52386.9999917384
1955.58333333333,3283136.3435941,52310.0998297012
1955.66666666667,3281158.85621151,52230.8582305371
1955.75,3279182.32267513,52149.8812706306
1955.83333333333,3277206.7879374,52067.7750263656
1955.91666666667,3275232.29695074,51985.1455741259
1956,3273258.8946676,51902.5989902961
1956.08333333333,3271286.60219314,51820.7413512601
1956.16666666667,3269315.34524354,51740.1787334018
1956.25,3267345.0256877,51661.5172131056
1956.33333333333,3265375.54539455,51585.3628667555
1956.41666666667,3263406.80623299,51512.3217707353
1956.5,3261438.71007194,51443.0000014296
1956.58333333333,3259471.1587803,51377.9284858879
1956.66666666667,3257504.05422698,51317.3375538224
1956.75,3255537.29828091,51261.3823856113
1956.83333333333,3253570.79281099,51210.2181616326
1956.91666666667,3251604.43968613,51164.0000622641
1957,3249638.14077526,51122.8832678841
1957.08333333333,3247672.18602092,51087.0229588704
1957.16666666667,3245708.41766027,51056.5743156009
1957.25,3243749.06600413,51031.6925184539
1957.33333333333,3241796.36136331,51012.5327478071
1957.41666666667,3239852.5340486,50999.2501840386
1957.5,3237919.81437083,50992.0000075265
1957.58333333333,3236000.4326408,50990.5398235455
1957.66666666667,3234096.61916931,50993.0369369585
1957.75,3232210.60426718,50997.2610775248
1957.83333333333,3230344.61824522,51000.9819750042
1957.91666666667,3228500.89141423,51001.9693591561
1958,3226681.65408502,50997.9929597401
1958.08333333333,3224888.98271714,50986.8225065157
1958.16666666667,3223124.33836507,50966.2277292426
1958.25,3221389.02823203,50933.9783576802
1958.33333333333,3219684.35952125,50887.8441215882
1958.41666666667,3218011.63943594,50825.594750726
1958.5,3216372.17517933,50744.9999748534
1958.58333333333,3214767.27395465,50645.155274502
1958.66666666667,3213198.24296509,50530.4591332914
1958.75,3211666.38941391,50406.6357856147
1958.83333333333,3210173.0205043,50279.4094658636
1958.91666666667,3208719.4434395,50154.5044084301
1959,3207306.96542273,50037.6448477071
1959.08333333333,3205936.59113513,49934.5550180864
1959.16666666667,3204608.11516954,49850.95915396
1959.25,3203321.02959673,49792.5814897206
1959.33333333333,3202074.82648747,49765.1462597601
1959.41666666667,3200868.99791252,49774.3776984709
1959.5,3199703.03594266,49826.0000402451
1959.58333333333,3198576.43264864,49923.6168134932
1959.66666666667,3197488.68010123,50062.3487226992
1959.75,3196439.27037121,50235.1957663643
1959.83333333333,3195427.69552934,50435.1579429906
1959.91666666667,3194453.44764638,50655.2352510809
1960,3193516.01879311,50888.4276891358
1960.08333333333,3192614.98999154,51127.7352556577
1960.16666666667,3191750.29806872,51366.1579491492
1960.25,3190921.96880296,51596.695768111
1960.33333333333,3190130.02797258,51812.3487110456
1960.41666666667,3189374.50135586,52006.1167764554
1960.5,3188655.41473113,52170.9999628413
1960.58333333333,3187972.79387668,52301.9568467924
1960.66666666667,3187326.66457082,52401.7803172437
1960.75,3186717.05259187,52475.2218412162
1960.83333333333,3186143.98371812,52527.0328857318
1960.91666666667,3185607.48372788,52561.964917812
1961,3185107.57839945,52584.769404478
1961.08333333333,3184643.82387692,52600.1978127515
1961.16666666667,3184213.89776736,52613.001609654
1961.25,3183815.00804365,52627.9322622069
1961.33333333333,3183444.36267865,52649.7412374318
1961.41666666667,3183099.16964521,52683.1800023502
1961.5,3182776.63691619,52733.0000239834
1961.58333333333,3182473.97246446,52802.6876580571
1961.66666666667,3182188.38426288,52890.6688151132
1961.75,3181917.0802843,52994.1042943967
1961.83333333333,3181657.26850159,53110.1548951537
1961.91666666667,3181406.1568876,53235.98141663
1962,3181160.9534152,53368.7446580708
1962.08333333333,3180919.28823883,53505.6054187219
1962.16666666667,3180680.48023927,53643.7244978295
1962.25,3180444.2704789,53780.2626946384
1962.33333333333,3180210.40002006,53912.3808083948
1962.41666666667,3179978.60992514,54037.2396383444
1962.5,3179748.64125649,54151.9999837325
1962.58333333333,3179520.23507649,54254.6808768794
1962.66666666667,3179293.13244749,54346.734282404
1962.75,3179067.07443187,54430.4703979988
1962.83333333333,3178841.80209199,54508.199421357
1962.91666666667,3178617.05649022,54582.2315501719
1963,3178392.57868892,54654.8769821362
